ID,PlantHeight
PI576389,0.91
PI576390,1.01
PI576391,0.945
PI576392,0.975
PI576393,1.085
PI576394,0.845
PI576395,0.64
PI576396,0.95
PI576397,0.985
PI576398,0.575
PI576399,1.415
PI576400,0.665
PI576401,1.495
PI576402,0.585
PI576403,1.735
PI576404,1.37
PI576405,0.79
PI576406,0.74
PI576407,1.765
PI576408,1.225
PI576409,0.8500000000000001
PI576410,1.04
PI576411,0.99
PI576412,1.25
PI576413,1.2
PI576414,0.695
PI576415,1.215
PI576416,1.145
PI576417,0.865
PI576418,1.12
PI576419,1.185
PI576420,0.72
PI576421,1.1549999999999998
PI576424,0.96
PI576425,0.8200000000000001
PI576427,0.77
PI576429,1.73
PI576430,0.91
PI576431,1.21
PI576432,1.15
PI576433,0.6799999999999999
PI576434,1.7
PI576435,0.92
PI576436,1.27
PI576437,1.44
PI585295,0.68
PI595699,0.8049999999999999
PI595700,1.125
PI595701,1.405
PI595704,1.6749999999999998
PI595705,1.22
PI595706,1.275
PI595711,1.34
PI595712,1.05
PI595713,1.06
PI595714,0.585
PI595715,0.915
PI595716,0.575
PI595717,0.65
PI595718,0.755
PI595719,0.815
PI595720,0.615
PI595721,0.62
PI595722,0.7949999999999999
PI595724,0.585
PI595725,1.625
PI595726,0.685
PI595727,1.6
PI595728,1.305
PI595729,0.78
PI595730,1.04
PI595731,2.59
PI595732,0.8300000000000001
PI595733,0.905
PI595734,1.045
PI595735,0.975
PI595736,0.905
PI595738,0.8400000000000001
PI595739,0.935
PI595740,1.125
PI595741,0.87
PI595743,0.88
PI595744,1.1
PI595746,1.105
PI595747,1.03
PI595748,1.515
PI597943,1.71
PI597944,0.92
PI597945,1.31
PI597947,0.7150000000000001
PI597949,1.215
PI597951,1.395
PI597952,0.6799999999999999
PI597953,0.95
PI597954,0.88
PI597956,0.81
PI597957,0.675
PI597958,1.01
PI597959,1.235
PI597960,2.4
PI597961,0.87
PI597962,0.76
PI597965,0.995
PI597966,0.865
PI597967,0.785
PI597968,0.735
PI597969,1.415
PI597970,1.015
PI597971,0.945
PI597972,1.04
PI597973,1.05
PI597974,1.3
PI597975,1.2400000000000002
PI597976,1.5299999999999998
PI597977,0.575
PI597980,0.9
PI597981,1.45
PI597982,1.1
PI601816,2.0
PI607931,0.76
PI609456,3.32
PI613536,1.295
PI629034,0.735
PI629040,0.475
PI629059,0.81
PI641849,1.98
PI641874,0.75
PI642793,0.87
PI642998,2.975
PI651496,3.075
PI655970,1.835
PI655972,1.89
PI655973,1.84
