ID,DaysToFlower
PI656110,66.8411661591759
PI576419,57.3508513179793
PI576383,57.9526324107318
PI548797,68.6513241711477
PI533746,58.5185606407822
PI533830,62.4339774991766
PI597949,78.3144515835244
PI534091,59.9293834233695
PI655995,76.6399154654833
PI576360,76.464918868603
PI533860,63.304314469068
PI576364,62.173053295082
PI533995,61.6843038929625
SC1193,71.7605987655356
PI597981,58.6086429219462
PI533924,66.3243246846089
PI533818,63.2902046985897
PI656031,65.0323152290555
PI595714,61.6783476958762
PI534104,65.3523020694774
PI534046,64.0136318379023
PI595738,68.2454274002675
PI656016,65.7532973055678
PI656040,74.2373694415294
PI656080,64.1517521161296
PI533877,61.3716808447925
PI533950,61.539769931237
RTX2737,63.8408962838292
SC0540,60.1384522815457
PI576410,66.4523340789907
PI533852,72.2832934321495
PI533800,70.6336597740233
PI533938,61.4466103059528
PI576420,59.951774023867
PI533971,61.4734919882017
PI533761,75.2905537059358
PI597975,58.3430368963093
SC0759,60.3639942910186
PI533812,72.4217606409393
PI576378,68.6763622889415
SC1023,70.0544917157448
PI659694,67.0954429099255
PI533926,
PI659691,75.2869807463138
PI552861,65.3244747407334
PI533912,49.7305463062845
PI533758,65.0471217846852
PI656100,77.4309946103676
PI656101,57.0105776391084
PI48770,71.4051937842625
PI595721,63.0564009638855
PI534065,62.2067871272814
PI576389,66.1837130258425
PI533939,64.2487475015818
SC0003,62.6793495920439
PI656107,74.7714210737667
PI576434,79.9887513418927
PI534050,63.7901498048344
PI534098,64.1557713002444
PI597961,63.8093793868727
PI656116,60.5520812437029
PI533979,60.7306022264864
PI533925,81.4334702200593
PI533867,63.5455619836607
PI656007,67.0747264737364
PI534070,59.9039179155863
PI656009,74.4263002346012
PI534146,66.1277551716483
PI533819,58.8028032492239
PI533869,70.6354160680929
PI656102,66.3415137346933
PI533866,61.07658491501
PI597970,61.2847352925761
SC0636,76.8450767238325
PI534095,63.9415658275679
PI534129,78.1090593817496
PI595727,62.6342457741765
PI534108,66.8183792123997
PI534069,65.215556649187
PI534030,69.1862331316034
PI656089,62.242720366405
PI656112,64.201450920164
PI576331,83.497902534724
SC1024,70.9429177501383
